edge_id,from_event_id,to_event_id,relation_type,basis_reference,track_id
EDG000512,EVT0244,EVT0245,before,성경 본문 흐름,track_gospel_harmony
EDG000513,EVT0245,EVT0246,before,성경 본문 흐름,track_gospel_harmony
EDG000514,EVT0246,EVT0247,before,성경 본문 흐름,track_gospel_harmony
EDG000515,EVT0247,EVT0248,before,성경 본문 흐름,track_gospel_harmony
EDG000516,EVT0248,EVT0249,before,성경 본문 흐름,track_gospel_harmony
EDG000517,EVT0249,EVT0250,before,성경 본문 흐름,track_gospel_harmony
EDG000518,EVT0250,EVT0251,before,성경 본문 흐름,track_gospel_harmony
EDG000519,EVT0251,EVT0252,before,성경 본문 흐름,track_gospel_harmony
EDG000520,EVT0252,EVT0253,before,성경 본문 흐름,track_gospel_harmony
EDG000521,EVT0253,EVT0254,before,성경 본문 흐름,track_gospel_harmony
EDG000522,EVT0254,EVT0255,before,성경 본문 흐름,track_gospel_harmony
EDG000523,EVT0255,EVT0256,before,성경 본문 흐름,track_gospel_harmony
EDG000524,EVT0256,EVT0257,before,성경 본문 흐름,track_gospel_harmony
EDG000525,EVT0257,EVT0258,before,성경 본문 흐름,track_gospel_harmony
EDG000526,EVT0258,EVT0259,before,성경 본문 흐름,track_gospel_harmony
EDG000527,EVT0259,EVT0260,before,성경 본문 흐름,track_gospel_harmony
EDG000528,EVT0260,EVT0261,before,성경 본문 흐름,track_gospel_harmony
EDG000529,EVT0261,EVT0262,before,성경 본문 흐름,track_gospel_harmony
EDG000530,EVT0262,EVT0263,before,성경 본문 흐름,track_gospel_harmony
EDG000531,EVT0263,EVT0264,before,성경 본문 흐름,track_gospel_harmony
EDG000532,EVT0264,EVT0265,before,성경 본문 흐름,track_gospel_harmony
EDG000533,EVT0265,EVT0266,before,성경 본문 흐름,track_gospel_harmony
EDG000534,EVT0266,EVT0267,before,성경 본문 흐름,track_gospel_harmony
EDG000535,EVT0267,EVT0268,before,성경 본문 흐름,track_gospel_harmony
EDG000536,EVT0268,EVT0269,before,성경 본문 흐름,track_gospel_harmony
EDG000537,EVT0269,EVT0270,before,성경 본문 흐름,track_gospel_harmony
EDG000538,EVT0270,EVT0271,before,성경 본문 흐름,track_gospel_harmony
EDG000539,EVT0271,EVT0272,before,성경 본문 흐름,track_gospel_harmony
EDG000540,EVT0272,EVT0273,before,성경 본문 흐름,track_gospel_harmony
EDG000541,EVT0273,EVT0274,before,성경 본문 흐름,track_gospel_harmony
EDG000542,EVT0274,EVT0275,before,성경 본문 흐름,track_gospel_harmony
EDG000543,EVT0275,EVT0276,before,성경 본문 흐름,track_gospel_harmony
EDG000544,EVT0276,EVT0277,before,성경 본문 흐름,track_gospel_harmony
EDG000545,EVT0277,EVT0278,before,성경 본문 흐름,track_gospel_harmony
EDG000546,EVT0278,EVT0279,before,성경 본문 흐름,track_gospel_harmony
EDG000547,EVT0279,EVT0280,before,성경 본문 흐름,track_gospel_harmony
EDG000548,EVT0280,EVT0281,before,성경 본문 흐름,track_gospel_harmony
EDG000549,EVT0281,EVT0282,before,성경 본문 흐름,track_gospel_harmony
EDG000550,EVT0282,EVT0283,before,성경 본문 흐름,track_gospel_harmony
EDG000551,EVT0283,EVT0284,before,성경 본문 흐름,track_gospel_harmony
EDG000552,EVT0284,EVT0285,before,성경 본문 흐름,track_gospel_harmony
EDG000553,EVT0285,EVT0286,before,성경 본문 흐름,track_gospel_harmony
EDG000554,EVT0286,EVT0287,before,성경 본문 흐름,track_gospel_harmony
EDG000555,EVT0287,EVT0288,before,성경 본문 흐름,track_gospel_harmony
EDG000556,EVT0288,EVT0289,before,성경 본문 흐름,track_gospel_harmony
EDG000557,EVT0289,EVT0290,before,성경 본문 흐름,track_gospel_harmony
EDG000558,EVT0290,EVT0291,before,성경 본문 흐름,track_gospel_harmony
EDG000559,EVT0291,EVT0292,before,성경 본문 흐름,track_gospel_harmony
EDG000560,EVT0292,EVT0293,before,성경 본문 흐름,track_gospel_harmony
EDG000561,EVT0293,EVT0294,before,성경 본문 흐름,track_gospel_harmony
EDG000562,EVT0294,EVT0295,before,성경 본문 흐름,track_gospel_harmony
EDG000563,EVT0295,EVT0296,before,성경 본문 흐름,track_gospel_harmony
EDG000564,EVT0296,EVT0297,before,성경 본문 흐름,track_gospel_harmony
EDG000565,EVT0297,EVT0298,before,성경 본문 흐름,track_gospel_harmony
EDG000566,EVT0298,EVT0299,before,성경 본문 흐름,track_gospel_harmony
EDG000567,EVT0299,EVT0300,before,성경 본문 흐름,track_gospel_harmony
EDG000568,EVT0300,EVT0301,before,성경 본문 흐름,track_gospel_harmony
EDG000569,EVT0301,EVT0302,before,성경 본문 흐름,track_gospel_harmony
EDG000570,EVT0302,EVT0303,before,성경 본문 흐름,track_gospel_harmony
EDG000571,EVT0303,EVT0304,before,성경 본문 흐름,track_gospel_harmony
EDG000572,EVT0304,EVT0305,before,성경 본문 흐름,track_gospel_harmony
EDG000573,EVT0305,EVT0306,before,성경 본문 흐름,track_gospel_harmony
EDG000574,EVT0306,EVT0307,before,성경 본문 흐름,track_gospel_harmony
EDG000575,EVT0307,EVT0308,before,성경 본문 흐름,track_gospel_harmony
EDG000576,EVT0308,EVT0309,before,성경 본문 흐름,track_gospel_harmony
EDG000577,EVT0309,EVT0310,before,성경 본문 흐름,track_gospel_harmony
EDG000578,EVT0310,EVT0311,before,성경 본문 흐름,track_gospel_harmony
EDG000579,EVT0311,EVT0312,before,성경 본문 흐름,track_gospel_harmony
EDG000580,EVT0312,EVT0313,before,성경 본문 흐름,track_gospel_harmony
EDG000581,EVT0313,EVT0314,before,성경 본문 흐름,track_gospel_harmony
EDG000582,EVT0314,EVT0315,before,성경 본문 흐름,track_gospel_harmony
EDG000583,EVT0315,EVT0316,before,성경 본문 흐름,track_gospel_harmony
EDG000584,EVT0316,EVT0317,before,성경 본문 흐름,track_gospel_harmony
EDG000585,EVT0317,EVT0318,before,성경 본문 흐름,track_gospel_harmony
EDG000586,EVT0318,EVT0319,before,성경 본문 흐름,track_gospel_harmony
EDG000587,EVT0319,EVT0320,before,성경 본문 흐름,track_gospel_harmony
